Gene,Sample,Protein accession,e.value,Score,NCBI.ID,Alignment length,Percent alignment
adeB,Bacterial genome,SCV20265_RS16705,0,1314.8,NC_023149,1025,0.990338164251208
mexE,Bacterial genome,SCV20265_RS14005,6.7e-289,965.3,NC_023149,413,0.997584541062802
adeB,Bacterial genome,SCV20265_RS14000,0,1049.7,NC_023149,1042,1.00676328502415
ClassC,Bacterial genome,SCV20265_RS04215,9.5e-165,555.7,NC_023149,372,0.966233766233766
adeB,Bacterial genome,SCV20265_RS02180,0,1473.8,NC_023149,1037,1.00193236714976
ClassB,Bacterial genome,SCH_RS19025,7.7e-63,220.1,NC_006905,290,1.09848484848485
adeB,Bacterial genome,SCH_RS17330,0,1470.7,NC_006905,1032,0.997101449275362
tolC,Bacterial genome,SCH_RS16315,5.1e-194,652.9,NC_006905,439,1
adeB,Bacterial genome,SCH_RS12965,0,1401.8,NC_006905,1032,0.997101449275362
ANT3,Bacterial genome,SCH_RS06790,8.7e-76,262,NC_006905,251,0.954372623574145
adeB,Bacterial genome,SCH_RS02745,0,1486.9,NC_006905,1040,1.0048309178744
intI,Bacterial genome,SCE1572_RS41100,4.3e-124,421.4,NC_021658,314,0.984326018808777
adeB,Bacterial genome,SCE1572_RS25780,0,1357.7,NC_021658,1022,0.98743961352657
intI,Bacterial genome,SCE1572_RS01180,1.4e-123,419.7,NC_021658,313,0.981191222570533
intI,Bacterial genome,SCE_RS02395,2.7e-124,422,NC_010162,314,0.984326018808777
ClassC,Bacterial genome,SBO_RS23770,3.6e-185,622.9,NC_007613,375,0.974025974025974
adeB,Bacterial genome,SBO_RS19405,0,1396.2,NC_007613,1032,0.997101449275362
adeB,Bacterial genome,SBO_RS18040,0,1452.1,NC_007613,1032,0.997101449275362
tolC,Bacterial genome,SBO_RS16090,2.7e-203,683.5,NC_007613,442,1.00683371298405
adeB,Bacterial genome,SBO_RS02000,0,1474.5,NC_007613,1039,1.00386473429952
ClassA,Bacterial genome,SBI_RS30645,1.2e-97,334.3,NC_016582,270,0.918367346938776
strA,Bacterial genome,SBI_RS00915,2e-80,277.6,NC_016582,260,0.973782771535581
tetA,Bacterial genome,SARO_RS16795,9.6e-89,305.7,NC_007794,391,0.963054187192118
ClassB,Bacterial genome,SARO_RS08725,2.3e-56,198.9,NC_007794,281,1.06439393939394
adeB,Bacterial genome,SARO_RS06095,0,1295.3,NC_007794,1032,0.997101449275362
ClassA,Bacterial genome,SARO_RS01405,1.2e-49,176.7,NC_007794,283,0.962585034013605
ClassA,Bacterial genome,SARE_RS07000,2.9e-94,323.2,NC_009953,279,0.948979591836735
vanC,Bacterial genome,SARE_RS05770,3.2e-69,241.3,NC_009953,352,1.00571428571429
tetQ,Bacterial genome,SAP1_RS38645,9.8e-100,342.4,NC_003155,615,0.936073059360731
ClassA,Bacterial genome,SAP1_RS23070,4.2e-86,296.5,NC_003155,266,0.904761904761905
adeB,Bacterial genome,SAMA_RS18470,0,1493.2,NC_008700,1036,1.00096618357488
tolC,Bacterial genome,SAMA_RS15915,9e-107,365.4,NC_008700,421,0.958997722095672
intI,Bacterial genome,SAMA_RS07065,1.4e-131,445.9,NC_008700,315,0.987460815047022
ClassA,Bacterial genome,SACE_RS06730,2.3e-93,320.3,NC_009142,266,0.904761904761905
tetA,Bacterial genome,S58_RS33300,2.7e-153,518.3,NC_020453,384,0.945812807881773
adeB,Bacterial genome,S58_RS31180,0,1033,NC_020453,1040,1.0048309178744
ClassB,Bacterial genome,S58_RS26265,5.1e-65,227.3,NC_020453,286,1.08333333333333
tetA,Bacterial genome,S58_RS20600,6.6e-101,345.8,NC_020453,394,0.970443349753695
ClassA,Bacterial genome,S58_RS17495,3.3e-100,342.8,NC_020453,284,0.965986394557823
adeB,Bacterial genome,S58_RS06025,0,1299,NC_020453,1025,0.990338164251208
ClassA,Bacterial genome,S23_RS33500,5.2e-84,289.6,NC_017082,281,0.95578231292517
adeB,Bacterial genome,S23_RS21260,0,1042,NC_017082,1039,1.00386473429952
adeB,Bacterial genome,S23_RS19060,0,1430.7,NC_017082,1027,0.992270531400966
ClassB,Bacterial genome,S23_RS10045,7.2e-61,213.7,NC_017082,283,1.0719696969697
adeB,Bacterial genome,S23_RS05290,0,1293.5,NC_017082,1027,0.992270531400966
ClassA,Bacterial genome,RVBD_RS10880,1.8e-84,291.1,NC_018143,275,0.935374149659864
vanC,Bacterial genome,RUMAL_RS12200,2.9e-78,271,NC_014833,349,0.997142857142857
adeB,Bacterial genome,RTCIAT899_RS17420,0,1450.9,NC_020059,1034,0.999033816425121
adeB,Bacterial genome,RTCIAT899_RS13995,0,1052.2,NC_020059,1037,1.00193236714976
tetA,Bacterial genome,RTCIAT899_RS12310,4.3e-96,329.9,NC_020059,399,0.982758620689655
ClassA,Bacterial genome,RTCIAT899_RS05235,2.8e-98,336.4,NC_020059,268,0.91156462585034
strA,Bacterial genome,RTCIAT899_RS00750,6e-123,417.1,NC_020059,260,0.973782771535581
adeB,Bacterial genome,RTA_RS17960,0,1013.9,NC_015677,1048,1.01256038647343
ClassA,Bacterial genome,RTA_RS14010,4.9e-94,322.5,NC_015677,277,0.942176870748299
tolC,Bacterial genome,RTA_RS05645,7.4e-110,375.6,NC_015677,431,0.981776765375854
adeB,Bacterial genome,RSPPHO_RS06150,0,1450.3,NC_017059,1031,0.996135265700483
tolC,Bacterial genome,RSPO_RS12835,1.8e-105,361.1,NC_017574,423,0.963553530751708
adeB,Bacterial genome,RSPH17029_RS20430,0,1368.9,NC_009050,1029,0.994202898550725
tetA,Bacterial genome,RSPH17029_RS04700,2.4e-94,324.2,NC_009049,391,0.963054187192118
tetA,Bacterial genome,RSPH17025_RS11455,9.4e-97,332.1,NC_009428,387,0.95320197044335
ClassC,Bacterial genome,RSP_3749,1.5e-131,446.4,NC_007494,373,0.968831168831169
adeB,Bacterial genome,RSP_3318,0,1366.5,NC_007494,1029,0.994202898550725
tetA,Bacterial genome,RSP_2249,3.2e-94,323.8,NC_007493,388,0.955665024630542
ClassC,Bacterial genome,RSKD131_RS19240,7.2e-129,437.6,NC_011958,372,0.966233766233766
adeB,Bacterial genome,RSKD131_RS16975,0,1368.9,NC_011958,1029,0.994202898550725
tetA,Bacterial genome,RSKD131_RS02720,1.4e-95,328.3,NC_011963,391,0.963054187192118
tolC,Bacterial genome,RS_RS03495,4.4e-106,363.2,NC_003295,425,0.968109339407745
adeB,Bacterial genome,RS_RS00045,0,1438.8,NC_003295,1030,0.995169082125604
adeB,Bacterial genome,RPSI07_RS23905,0,1433.4,NC_014311,1030,0.995169082125604
tolC,Bacterial genome,RPSI07_RS20545,4.6e-107,366.4,NC_014311,425,0.968109339407745
adeB,Bacterial genome,RPIC12D_RS21625,0,1017,NC_012857,1036,1.00096618357488
adeB,Bacterial genome,RPIC12D_RS17170,0,1441.2,NC_012856,1031,0.996135265700483
tetQ,Bacterial genome,RPIC12D_RS14775,5e-63,221.1,NC_012856,674,1.02587519025875
adeB,Bacterial genome,RPIC12D_RS04550,0,1310.7,NC_012856,1030,0.995169082125604
tolC,Bacterial genome,RPIC12D_RS03005,8.1e-104,355.7,NC_012856,423,0.963553530751708
adeB,Bacterial genome,RPIC_RS20915,0,1017,NC_010678,1036,1.00096618357488
adeB,Bacterial genome,RPIC_RS18580,0,1444.5,NC_010682,1031,0.996135265700483
adeB,Bacterial genome,RPIC_RS04135,0,1304,NC_010682,1030,0.995169082125604
tolC,Bacterial genome,RPIC_RS03145,1.6e-102,351.5,NC_010682,423,0.963553530751708
tetA,Bacterial genome,RPE_RS16765,2.5e-96,330.8,NC_008435,391,0.963054187192118
adeB,Bacterial genome,RPE_RS16690,0,1412.7,NC_008435,1028,0.993236714975845
ClassA,Bacterial genome,RPE_RS09385,7.7e-79,272.6,NC_008435,276,0.938775510204082
adeB,Bacterial genome,RPDX1_RS19850,0,1316.6,NC_014834,1026,0.991304347826087
adeB,Bacterial genome,RPDX1_RS15820,0,1030.4,NC_014834,1021,0.986473429951691
adeB,Bacterial genome,RPDX1_RS15440,0,1417.1,NC_014834,1029,0.994202898550725
adeB,Bacterial genome,RPDX1_RS11805,0,1040.4,NC_014834,1039,1.00386473429952
tetA,Bacterial genome,RPDX1_RS11415,1e-97,335.3,NC_014834,389,0.958128078817734
adeB,Bacterial genome,RPDX1_RS07140,0,1351.5,NC_014834,1027,0.992270531400966
adeB,Bacterial genome,RPD_RS18995,0,1289.4,NC_007958,1026,0.991304347826087
adeB,Bacterial genome,RPD_RS16740,0,1314.8,NC_007958,1028,0.993236714975845
tetA,Bacterial genome,RPD_RS15090,3.7e-96,330.2,NC_007958,392,0.96551724137931
adeB,Bacterial genome,RPD_RS13480,0,1303.6,NC_007958,1029,0.994202898550725
adeB,Bacterial genome,RPD_RS11595,0,1025.1,NC_007958,1037,1.00193236714976
adeB,Bacterial genome,RPC_RS23240,0,1069.4,NC_007925,1028,0.993236714975845
adeB,Bacterial genome,RPC_RS13675,0,1540.8,NC_007925,1023,0.988405797101449
ClassA,Bacterial genome,RPC_RS13670,1.1e-99,341,NC_007925,271,0.921768707482993
tetA,Bacterial genome,RPC_RS11380,5.6e-97,332.9,NC_007925,385,0.948275862068966
tetA,Bacterial genome,RPC_RS10345,6.6e-163,550,NC_007925,389,0.958128078817734
adeB,Bacterial genome,RPC_RS09540,0,1033.9,NC_007925,1041,1.00579710144928
adeB,Bacterial genome,RPC_RS09380,0,1396.6,NC_007925,1031,0.996135265700483
adeB,Bacterial genome,RPB_RS20290,0,1299.2,NC_007778,1026,0.991304347826087
adeB,Bacterial genome,RPB_RS16655,0,1033.3,NC_007778,1040,1.0048309178744
tetA,Bacterial genome,RPB_RS12330,3.3e-96,330.3,NC_007778,382,0.940886699507389
adeB,Bacterial genome,RPB_RS11245,0,1404.2,NC_007778,1036,1.00096618357488
adeB,Bacterial genome,RPAL_RS21895,0,1352.5,NC_011004,1028,0.993236714975845
tetA,Bacterial genome,RPAL_RS17325,1.7e-97,334.6,NC_011004,395,0.972906403940887
adeB,Bacterial genome,RPAL_RS16940,0,1042,NC_011004,1039,1.00386473429952
adeB,Bacterial genome,RPAL_RS08370,0,1316,NC_011004,1026,0.991304347826087
ClassA,Bacterial genome,RPAL_RS01835,2.4e-110,376,NC_011004,268,0.91156462585034
tolC,Bacterial genome,RORB6_RS22215,3.1e-189,637.2,NC_021066,440,1.00227790432802
adeB,Bacterial genome,RORB6_RS19220,0,1312.3,NC_021066,1027,0.992270531400966
vanC,Bacterial genome,RORB6_RS13595,1.9e-70,245.3,NC_021066,347,0.991428571428571
adeB,Bacterial genome,RORB6_RS12985,0,1499.3,NC_021066,1038,1.00289855072464
ClassA,Bacterial genome,RORB6_RS05675,4.4e-111,378.5,NC_021066,281,0.95578231292517
adeB,Bacterial genome,RORB6_RS00560,0,1421.2,NC_021066,1030,0.995169082125604
ClassA,Bacterial genome,ROP_RS01375,9.4e-91,311.7,NC_012522,276,0.938775510204082
adeB,Bacterial genome,RMET_RS18030,0,1433.5,NC_007973,1031,0.996135265700483
tolC,Bacterial genome,RMET_RS13615,6.2e-115,392.3,NC_007973,435,0.990888382687927
ClassC,Bacterial genome,RMET_RS08895,1.3e-164,555.2,NC_007973,370,0.961038961038961
adeB,Bacterial genome,RMET_RS08530,0,1044.5,NC_007973,1021,0.986473429951691
adeB,Bacterial genome,RMET_RS05640,0,1094.7,NC_007973,1025,0.990338164251208
adeB,Bacterial genome,RLEG3_RS17610,0,1307.5,NZ_CP007045,1030,0.995169082125604
adeB,Bacterial genome,RLEG3_RS16705,0,1050.3,NZ_CP007045,1036,1.00096618357488
tetA,Bacterial genome,RLEG3_RS14855,1.1e-98,338.5,NZ_CP007045,391,0.963054187192118
ClassC,Bacterial genome,RLEG3_RS13480,4.5e-153,517.2,NZ_CP007045,362,0.94025974025974
adeB,Bacterial genome,RLEG3_RS11275,0,1372,NZ_CP007045,1027,0.992270531400966
ClassA,Bacterial genome,RLEG3_RS05200,7.8e-95,325.1,NZ_CP007045,266,0.904761904761905
adeB,Bacterial genome,RLEG2_RS15880,0,1311.3,NC_011369,1028,0.993236714975845
adeB,Bacterial genome,RLEG2_RS15540,0,1050.9,NC_011369,1036,1.00096618357488
ClassC,Bacterial genome,RLEG2_RS14795,7.9e-151,509.9,NC_011369,371,0.963636363636364
tetA,Bacterial genome,RLEG2_RS13600,4.4e-99,339.8,NC_011369,390,0.960591133004926
ClassA,Bacterial genome,RLEG2_RS04335,1.5e-96,330.8,NC_011369,269,0.914965986394558
tetA,Bacterial genome,RLEG2_RS03460,3.7e-159,537.6,NC_011369,386,0.950738916256158
adeB,Bacterial genome,RLEG12_RS15285,0,1311.1,NZ_CP007067,1030,0.995169082125604
adeB,Bacterial genome,RLEG12_RS14805,0,1041.5,NZ_CP007067,1036,1.00096618357488
ClassC,Bacterial genome,RLEG12_RS14050,4.7e-151,510.6,NZ_CP007067,370,0.961038961038961
tetA,Bacterial genome,RLEG12_RS12885,2.4e-99,340.7,NZ_CP007067,390,0.960591133004926
adeB,Bacterial genome,RLEG12_RS09675,0,1380.1,NZ_CP007067,1027,0.992270531400966
ClassA,Bacterial genome,RLEG12_RS04165,5.5e-95,325.6,NZ_CP007067,266,0.904761904761905
tetA,Bacterial genome,RLEG12_RS03340,9.3e-159,536.3,NZ_CP007067,384,0.945812807881773
adeB,Bacterial genome,RLEG_RS17030,0,1309.3,NC_012850,1028,0.993236714975845
adeB,Bacterial genome,RLEG_RS16535,0,1046.4,NC_012850,1036,1.00096618357488
tetA,Bacterial genome,RLEG_RS14655,8.4e-98,335.6,NC_012850,391,0.963054187192118
ClassC,Bacterial genome,RLEG_RS13295,7.4e-152,513.3,NC_012850,367,0.953246753246753
adeB,Bacterial genome,RLEG_RS10885,0,1374.1,NC_012850,1027,0.992270531400966
ClassA,Bacterial genome,RLEG_RS04830,1.8e-95,327.2,NC_012850,265,0.901360544217687
adeB,Bacterial genome,RL_RS20005,0,1304.8,NC_008380,1028,0.993236714975845
adeB,Bacterial genome,RL_RS19460,0,1049.6,NC_008380,1036,1.00096618357488
tetA,Bacterial genome,RL_RS17590,1.6e-97,334.7,NC_008380,391,0.963054187192118
ClassC,Bacterial genome,RL_RS16285,3.7e-149,504.4,NC_008380,366,0.950649350649351
adeB,Bacterial genome,RL_RS13760,0,1375.1,NC_008380,1027,0.992270531400966
ClassA,Bacterial genome,RL_RS07045,2.2e-96,330.2,NC_008380,266,0.904761904761905
adeB,Bacterial genome,RIV7116_RS03400,0,1029.2,NC_019678,1038,1.00289855072464
adeB,Bacterial genome,RHECIAT_RS17870,0,1310.1,NC_010994,1028,0.993236714975845
adeB,Bacterial genome,RHECIAT_RS17555,0,1044.3,NC_010994,1037,1.00193236714976
ClassC,Bacterial genome,RHECIAT_RS16785,1.4e-149,505.8,NC_010994,369,0.958441558441558
tetA,Bacterial genome,RHECIAT_RS15260,1.3e-100,344.8,NC_010994,391,0.963054187192118
ClassA,Bacterial genome,RHECIAT_RS06375,1.4e-98,337.4,NC_010994,278,0.945578231292517
tetA,Bacterial genome,RHECIAT_RS05490,9.1e-157,529.8,NC_010994,383,0.943349753694581
adeB,Bacterial genome,RHE_RS17440,0,1308.9,NC_007761,1028,0.993236714975845
adeB,Bacterial genome,RHE_RS17120,0,1043.9,NC_007761,1036,1.00096618357488
ClassC,Bacterial genome,RHE_RS16345,1e-143,486.5,NC_007761,366,0.950649350649351
tetA,Bacterial genome,RHE_RS15155,4.2e-100,343.1,NC_007761,390,0.960591133004926
ClassA,Bacterial genome,RHE_RS06250,1.7e-97,333.9,NC_007761,277,0.942176870748299
tetA,Bacterial genome,RHE_RS05190,2.2e-157,531.8,NC_007761,387,0.95320197044335
ClassA,Bacterial genome,RHA1_RS00915,1.8e-88,304.2,NC_008268,275,0.935374149659864
adeB,Bacterial genome,RG540_RS19445,0,1318.9,NZ_HG938353,1027,0.992270531400966
tetA,Bacterial genome,RG540_RS12165,3.3e-101,346.8,NZ_HG938353,399,0.982758620689655
adeB,Bacterial genome,RG540_RS10200,0,1033.2,NZ_HG938353,1030,0.995169082125604
tetA,Bacterial genome,RG540_RS05185,3.5e-162,547.6,NZ_HG938353,383,0.943349753694581
adeB,Bacterial genome,RG1141_RS19165,0,1315.4,NZ_HG938355,1027,0.992270531400966
tetA,Bacterial genome,RG1141_RS12160,5.4e-101,346.1,NZ_HG938355,396,0.975369458128079
adeB,Bacterial genome,RG1141_RS09835,0,1024.9,NZ_HG938355,1030,0.995169082125604
tetA,Bacterial genome,RG1141_RS05095,1.6e-162,548.7,NZ_HG938355,383,0.943349753694581
ANT9,Bacterial genome,RG1141_RS04390,5.7e-72,249.7,NZ_HG938355,245,0.942307692307692
adeB,Bacterial genome,REMIM1_RS17205,0,1301.7,NC_021905,1030,0.995169082125604
adeB,Bacterial genome,REMIM1_RS16885,0,1043.5,NC_021905,1036,1.00096618357488
ClassC,Bacterial genome,REMIM1_RS16100,2.4e-148,501.7,NC_021905,368,0.955844155844156
tetA,Bacterial genome,REMIM1_RS14925,4.2e-100,343.1,NC_021905,390,0.960591133004926
ClassA,Bacterial genome,REMIM1_RS06460,4.6e-97,332.4,NC_021905,277,0.942176870748299
tetA,Bacterial genome,REMIM1_RS05625,9.3e-156,526.5,NC_021905,383,0.943349753694581
adeB,Bacterial genome,RCFBP_RS15945,0,1434.8,NC_014307,1030,0.995169082125604
tolC,Bacterial genome,RCFBP_RS12555,7.8e-105,359,NC_014307,425,0.968109339407745
adeB,Bacterial genome,RCAP_RS14325,0,1362.7,NC_014034,1017,0.982608695652174
tetA,Bacterial genome,RCAP_RS07445,3.9e-99,340,NC_014034,394,0.970443349753695
adeB,Bacterial genome,RCAP_RS03090,0,1290.1,NC_014034,1034,0.999033816425121
adeB,Bacterial genome,RBRH_RS10125,0,1484,NC_014722,1031,0.996135265700483
vanC,Bacterial genome,RBI_RS07075,1.5e-76,265.3,NZ_HF545616,348,0.994285714285714
ClassA,Bacterial genome,RBAM_RS06040,8e-102,348.1,NC_009725,265,0.901360544217687
ClassB,Bacterial genome,RBAM_RS05930,9.4e-69,239.5,NC_009725,242,0.916666666666667
tolC,Bacterial genome,RALTA_RS24845,6.2e-81,280.3,NC_010530,438,0.997722095671982
ClassC,Bacterial genome,RALTA_RS21405,2.1e-163,551.3,NC_010530,365,0.948051948051948
adeB,Bacterial genome,RALTA_RS20230,0,1030.6,NC_010530,1033,0.998067632850242
ANT3,Bacterial genome,RALTA_RS19735,1.1e-105,360,NC_010530,238,0.904942965779468
adeB,Bacterial genome,RALTA_RS15585,0,1448.6,NC_010528,1030,0.995169082125604
adeB,Bacterial genome,RALTA_RS14950,0,1043.5,NC_010528,1024,0.989371980676328
adeB,Bacterial genome,RALTA_RS13705,0,1035,NC_010528,1032,0.997101449275362
tolC,Bacterial genome,RALTA_RS11455,3.1e-115,393.3,NC_010528,440,1.00227790432802
tolC,Bacterial genome,RALSO244_RS03555,1.5e-106,364.7,NZ_CM002755,425,0.968109339407745
adeB,Bacterial genome,RALSO244_RS00050,0,1440.4,NZ_CM002755,1030,0.995169082125604
tolC,Bacterial genome,RALSO161_RS03480,1.1e-106,365.1,NZ_CM002757,425,0.968109339407745
adeB,Bacterial genome,RALSO161_RS00050,0,1439,NZ_CM002757,1030,0.995169082125604
adeB,Bacterial genome,RAHAQ_RS16495,0,1498.9,NC_015061,1039,1.00386473429952
adeB,Bacterial genome,RAHAQ_RS16160,0,1450.6,NC_015061,1029,0.994202898550725
vanC,Bacterial genome,RAHAQ_RS15185,3.2e-75,261,NC_015061,348,0.994285714285714
adeB,Bacterial genome,RAHAQ_RS04045,0,1375.2,NC_015061,1036,1.00096618357488
tolC,Bacterial genome,RAHAQ_RS03135,9e-176,592.8,NC_015061,440,1.00227790432802
qnr,Bacterial genome,RAHAQ_RS00700,5.3e-93,318.3,NC_015061,212,0.972477064220184
tetA,Bacterial genome,R2APBS1_RS17055,1.9e-102,350.9,NC_020541,393,0.967980295566502
ClassB,Bacterial genome,R2APBS1_RS08820,7.7e-62,216.8,NC_020541,276,1.04545454545455
adeB,Bacterial genome,R2APBS1_RS06210,0,1251.6,NC_020541,1030,0.995169082125604
tolC,Bacterial genome,R2APBS1_RS01745,6.7e-84,290.1,NC_020541,427,0.972665148063781
adeB,Bacterial genome,R2APBS1_RS00350,0,1024.7,NC_020541,1040,1.0048309178744
adeB,Bacterial genome,Q7S_RS16595,0,1498.9,NC_017047,1039,1.00386473429952
adeB,Bacterial genome,Q7S_RS16260,0,1453.2,NC_017047,1029,0.994202898550725
vanC,Bacterial genome,Q7S_RS15290,3.2e-75,261,NC_017047,348,0.994285714285714
adeB,Bacterial genome,Q7S_RS03810,0,1375.2,NC_017047,1036,1.00096618357488
tolC,Bacterial genome,Q7S_RS02895,9e-176,592.8,NC_017047,440,1.00227790432802
qnr,Bacterial genome,Q7S_RS00705,5.3e-93,318.3,NC_017047,212,0.972477064220184
ANT6,Bacterial genome,Q433_RS13260,1.4e-123,419.2,NZ_CP007409,276,0.958333333333333
adeB,Bacterial genome,PVLB_RS12880,0,1434.2,NC_022738,1021,0.986473429951691
mexE,Bacterial genome,PVLB_RS11905,8.6e-192,645.4,NC_022738,412,0.995169082125604
adeB,Bacterial genome,PVLB_RS11900,0,1031.4,NC_022738,1043,1.00772946859903
ClassC,Bacterial genome,PVLB_RS10395,2.3e-146,495.2,NC_022738,374,0.971428571428571
adeB,Bacterial genome,PVLB_RS05015,0,1432.4,NC_022738,1032,0.997101449275362
tolC,Bacterial genome,PVLB_RS02610,3.1e-94,324.1,NC_022738,419,0.954441913439636
adeB,Bacterial genome,PSYCPRWF_RS04545,0,1475.2,NC_009524,1037,1.00193236714976
adeB,Bacterial genome,PSYC_RS08165,0,1472.3,NC_007204,1043,1.00772946859903
adeB,Bacterial genome,PSTAA_RS20385,0,1454.7,NC_017532,1037,1.00193236714976
tolC,Bacterial genome,PSTAA_RS19580,8e-100,342.5,NC_017532,431,0.981776765375854
ANT3,Bacterial genome,PSTAA_RS11045,7.6e-90,308.1,NC_017532,247,0.939163498098859
adeB,Bacterial genome,PSTAA_RS11035,0,1052.7,NC_017532,1042,1.00676328502415
adeB,Bacterial genome,PST_RS19610,0,1457.6,NC_009434,1035,1
tolC,Bacterial genome,PST_RS19005,9.2e-101,345.6,NC_009434,431,0.981776765375854
ANT3,Bacterial genome,PST_RS10960,2.4e-90,309.7,NC_009434,248,0.942965779467681
mexE,Bacterial genome,PST_RS10945,9.7e-196,658.4,NC_009434,393,0.949275362318841
tolC,Bacterial genome,PST_RS03505,4.3e-94,323.6,NC_009434,433,0.986332574031891
tetA,Bacterial genome,PSSB64_RS20920,7e-83,286.4,NZ_CM001763,392,0.96551724137931
adeB,Bacterial genome,PSSB64_RS17710,0,1388.8,NZ_CM001763,1035,1
mexE,Bacterial genome,PSSB64_RS14885,7.6e-197,662.1,NZ_CM001763,405,0.978260869565217
adeB,Bacterial genome,PSSB64_RS14880,0,1031.6,NZ_CM001763,1042,1.00676328502415
ClassC,Bacterial genome,PSSB64_RS12800,1.1e-151,512.7,NZ_CM001763,365,0.948051948051948
vanC,Bacterial genome,PSSB64_RS09785,7.4e-72,249.9,NZ_CM001763,346,0.988571428571429
adeB,Bacterial genome,PSSB64_RS09350,0,1453.7,NZ_CM001763,1037,1.00193236714976
tolC,Bacterial genome,PSSB64_RS02735,1.5e-91,315.3,NZ_CM001763,420,0.956719817767654
adeB,Bacterial genome,PSPPH_RS20290,0,1452.1,NC_005773,1037,1.00193236714976
vanC,Bacterial genome,PSPPH_RS19790,1.1e-70,246.1,NC_005773,346,0.988571428571429
ClassC,Bacterial genome,PSPPH_RS16635,1.3e-150,509.2,NC_005773,369,0.958441558441558
adeB,Bacterial genome,PSPPH_RS14735,0,1397.4,NC_005773,1034,0.999033816425121
adeB,Bacterial genome,PSPPH_RS12035,0,1418.4,NC_005773,1029,0.994202898550725
mexE,Bacterial genome,PSPPH_RS11495,1.9e-197,664.1,NC_005773,405,0.978260869565217
adeB,Bacterial genome,PSPPH_RS11490,0,1031.1,NC_005773,1043,1.00772946859903
tolC,Bacterial genome,PSPPH_RS04160,3.7e-89,307.4,NC_005773,425,0.968109339407745
tolC,Bacterial genome,PSPPH_RS02705,3e-93,320.9,NC_005773,420,0.956719817767654
adeB,Bacterial genome,PSJM300_RS11260,0,1042.7,NC_018177,1044,1.00869565217391
mexE,Bacterial genome,PSJM300_RS11255,8e-188,632.3,NC_018177,395,0.954106280193237
adeB,Bacterial genome,PSJM300_RS10430,0,1387.1,NC_018177,1031,0.996135265700483
intI,Bacterial genome,PSJM300_RS07145,3e-150,507.3,NC_018177,316,0.990595611285266
ANT3,Bacterial genome,PSJM300_RS03565,6e-104,354.3,NC_018177,252,0.958174904942966
ClassB,Bacterial genome,PSJM300_RS02870,6.4e-73,253.2,NC_018177,238,0.901515151515151
tolC,Bacterial genome,PSJM300_RS02225,7.5e-94,322.9,NC_018177,435,0.990888382687927
adeB,Bacterial genome,PSJM300_RS01715,0,1473.6,NC_018177,1029,0.994202898550725
ClassC,Bacterial genome,PSF113_RS49865,6.7e-166,559.5,NC_016830,365,0.948051948051948
mexE,Bacterial genome,PSF113_RS44175,2.6e-195,657,NC_016830,397,0.958937198067633
adeB,Bacterial genome,PSF113_RS44170,0,1046.5,NC_016830,1041,1.00579710144928
adeB,Bacterial genome,PSF113_RS42935,0,1464.6,NC_016830,1025,0.990338164251208
adeB,Bacterial genome,PSF113_RS40935,0,1424,NC_016830,1031,0.996135265700483
adeB,Bacterial genome,PSF113_RS37155,0,1445.7,NC_016830,1037,1.00193236714976
tolC,Bacterial genome,PSF113_RS32985,1.1e-93,322.3,NC_016830,425,0.968109339407745
ANT3,Bacterial genome,PSESU_RS15780,1.1e-164,553.4,NC_014924,262,0.996197718631179
tetA,Bacterial genome,PSESU_RS15130,8.2e-100,342.2,NC_014924,382,0.940886699507389
intI,Bacterial genome,PSESU_RS09670,3.1e-141,477.7,NC_014924,314,0.984326018808777
adeB,Bacterial genome,PSESU_RS07335,0,1269.9,NC_014924,1025,0.990338164251208
ClassA,Bacterial genome,PSESU_RS02880,1.1e-87,301.7,NC_014924,271,0.921768707482993
tolC,Bacterial genome,PSESU_RS02135,7.9e-86,296.4,NC_014924,435,0.990888382687927
mexE,Bacterial genome,PSEST_RS10470,4.7e-190,639.7,NC_019936,395,0.954106280193237
adeB,Bacterial genome,PSEST_RS10465,0,1049.8,NC_019936,1043,1.00772946859903
tolC,Bacterial genome,PSEST_RS02335,4.5e-99,340.1,NC_019936,431,0.981776765375854
adeB,Bacterial genome,PSEST_RS01535,0,1457.7,NC_019936,1032,0.997101449275362
tolC,Bacterial genome,PSEEN_RS23015,1.8e-93,321.6,NC_008027,424,0.965831435079727
tolC,Bacterial genome,PSEEN_RS22020,1.2e-79,276,NC_008027,430,0.979498861047836
adeB,Bacterial genome,PSEEN_RS20180,0,1434.8,NC_008027,1032,0.997101449275362
adeB,Bacterial genome,PSEEN_RS14465,0,1354.8,NC_008027,1034,0.999033816425121
ClassC,Bacterial genome,PSEEN_RS13965,2.6e-149,504.9,NC_008027,372,0.966233766233766
adeB,Bacterial genome,PSEEN_RS13755,0,1424.8,NC_008027,1023,0.988405797101449
mexE,Bacterial genome,PSEEN_RS10750,5.6e-194,652.6,NC_008027,405,0.978260869565217
adeB,Bacterial genome,PSEEN_RS10745,0,1033.7,NC_008027,1044,1.00869565217391
adeB,Bacterial genome,PSEBR_RS19395,0,1427.3,NC_015379,1031,0.996135265700483
adeB,Bacterial genome,PSEBR_RS16375,0,1045.9,NC_015379,1041,1.00579710144928
mexE,Bacterial genome,PSEBR_RS16370,2.4e-196,660.4,NC_015379,398,0.961352657004831
