RefSoil ID,Taxon ID,Kingdom,Phylum,Organism,Contains.plasmid,length.phy,Source,NCBI.ID
RefSoil_506,858619,Bacteria,Actinobacteria,Corynebacterium variabile DSM 44702,FALSE,117,NCBI.ID,NC_015859
RefSoil_507,743299,Bacteria,Acidithiobacillia,Acidithiobacillus ferrivorans SS3,FALSE,2,NCBI.ID,NC_015942
RefSoil_508,868597,Bacteria,Gammaproteobacteria,Stenotrophomonas maltophilia JV3,FALSE,193,NCBI.ID,NC_015947
RefSoil_509,862751,Bacteria,Actinobacteria,Streptomyces sp. SirexAA-E,FALSE,117,NCBI.ID,NC_015953
RefSoil_510,653045,Bacteria,Actinobacteria,Streptomyces violaceusniger Tu 4113,TRUE,117,NCBI.ID,NC_015957
RefSoil_511,627192,Bacteria,Alphaproteobacteria,Sphingobium sp. SYK-6,TRUE,124,NCBI.ID,NC_015976
RefSoil_512,1034807,Bacteria,Bacteroidetes,Flavobacterium branchiophilum FL-15,TRUE,19,NCBI.ID,NC_016001
RefSoil_513,748280,Bacteria,Betaproteobacteria,Pseudogulbenkiania sp. NH8B,FALSE,91,NCBI.ID,NC_016002
RefSoil_514,345219,Bacteria,Firmicutes,Bacillus coagulans 36D1,FALSE,206,NCBI.ID,NC_016023
RefSoil_515,981222,Bacteria,Acidobacteria,Chloracidobacterium thermophilum B,FALSE,7,NCBI.ID,NC_016024
RefSoil_516,856793,Bacteria,Alphaproteobacteria,Micavibrio aeruginosavorus ARL-13,FALSE,124,NCBI.ID,NC_016026
RefSoil_517,1052585,Bacteria,Firmicutes,Bacillus subtilis subsp. spizizenii TU-B-10,FALSE,206,NCBI.ID,NC_016047
RefSoil_518,768679,Archaea,Crenarchaeota,Thermoproteus tenax Kra 1,FALSE,9,NCBI.ID,NC_016070
RefSoil_519,452652,Bacteria,Actinobacteria,Kitasatospora setae KM-6054,FALSE,117,NCBI.ID,NC_016109
RefSoil_520,1003195,Bacteria,Actinobacteria,Streptomyces cattleya NRRL 8057,TRUE,117,NCBI.ID,NC_016111
RefSoil_521,591167,Bacteria,Actinobacteria,Streptomyces pratensis ATCC 33331,TRUE,117,NCBI.ID,NC_016114
RefSoil_522,1045855,Bacteria,Gammaproteobacteria,Pseudoxanthomonas spadix BD-a59,FALSE,193,NCBI.ID,NC_016147
RefSoil_523,580340,Bacteria,Synergistetes,Thermovirga lienii DSM 17291,TRUE,1,NCBI.ID,NC_016148
RefSoil_525,1041826,Bacteria,Bacteroidetes,Flavobacterium columnare ATCC 49512,FALSE,19,NCBI.ID,NC_016510
RefSoil_526,1045856,Bacteria,Gammaproteobacteria,Enterobacter cloacae EcWSU1,TRUE,193,NCBI.ID,NC_016514
RefSoil_527,749414,Bacteria,Actinobacteria,Streptomyces bingchenggensis BCW-1,FALSE,117,NCBI.ID,NC_016582
RefSoil_528,768706,Bacteria,Firmicutes,Desulfosporosinus orientis DSM 765,FALSE,206,NCBI.ID,NC_016584
RefSoil_536,1097668,Bacteria,Betaproteobacteria,Burkholderia sp. YI23,TRUE,91,NCBI.ID,NC_016589
RefSoil_529,710685,Bacteria,Actinobacteria,Mycobacterium rhodesiae NBB3,FALSE,117,NCBI.ID,NC_016604
RefSoil_530,700598,Bacteria,Bacteroidetes,Niastella koreensis GR20-10,FALSE,19,NCBI.ID,NC_016609
RefSoil_531,1006551,Bacteria,Gammaproteobacteria,Klebsiella oxytoca KCTC 1686,FALSE,193,NCBI.ID,NC_016612
RefSoil_532,640081,Bacteria,Betaproteobacteria,Dechlorosoma suillum PS,FALSE,91,NCBI.ID,NC_016616
RefSoil_533,1064539,Bacteria,Alphaproteobacteria,Azospirillum brasilense Sp245,TRUE,124,NCBI.ID,NC_016617
RefSoil_534,862908,Bacteria,Deltaproteobacteria,Halobacteriovorax marinus SJ,TRUE,39,NCBI.ID,NC_016620
RefSoil_535,862719,Bacteria,Alphaproteobacteria,Azospirillum lipoferum 4B,TRUE,124,NCBI.ID,NC_016622
RefSoil_537,720554,Bacteria,Firmicutes,[Clostridium] clariflavum DSM 19732,FALSE,206,NCBI.ID,NC_016627
RefSoil_538,690850,Bacteria,Deltaproteobacteria,Desulfovibrio africanus str. Walvis Bay,FALSE,39,NCBI.ID,NC_016629
RefSoil_539,682795,Bacteria,Acidobacteria,Granulicella mallensis MP5ACTX8,FALSE,7,NCBI.ID,NC_016631
RefSoil_540,985665,Bacteria,Firmicutes,Paenibacillus terrae HPL-003,FALSE,206,NCBI.ID,NC_016641
RefSoil_541,334406,Bacteria,Firmicutes,Bacillus cereus NC7401,TRUE,206,NCBI.ID,NC_016771
RefSoil_542,347495,Bacteria,Firmicutes,Bacillus cereus F837/76,TRUE,206,NCBI.ID,NC_016779
RefSoil_543,1114958,Bacteria,Firmicutes,Bacillus methylotrophicus CAU B946,FALSE,206,NCBI.ID,NC_016784
RefSoil_544,698971,Bacteria,Actinobacteria,Corynebacterium diphtheriae VA01,FALSE,117,NCBI.ID,NC_016790
RefSoil_545,698973,Bacteria,Actinobacteria,Corynebacterium diphtheriae BH8,FALSE,117,NCBI.ID,NC_016800
RefSoil_546,698963,Bacteria,Actinobacteria,Corynebacterium diphtheriae C7 (beta),FALSE,117,NCBI.ID,NC_016801
RefSoil_547,933093,Bacteria,Gammaproteobacteria,Legionella pneumophila subsp. pneumophila ATC,FALSE,193,NCBI.ID,NC_016811
RefSoil_548,1117943,Bacteria,Alphaproteobacteria,Sinorhizobium fredii HH103,TRUE,124,NCBI.ID,NC_016812
RefSoil_549,1123863,Bacteria,Gammaproteobacteria,Pantoea ananatis LMG 5342,TRUE,193,NCBI.ID,NC_016816
RefSoil_550,1069533,Bacteria,Firmicutes,Streptococcus infantarius subsp. infantariu,TRUE,206,NCBI.ID,NC_016826
RefSoil_551,1114970,Bacteria,Gammaproteobacteria,Pseudomonas fluorescens F113,FALSE,193,NCBI.ID,NC_016830
RefSoil_552,1081093,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,FALSE,193,NCBI.ID,NC_016831
RefSoil_553,1132507,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_016832
RefSoil_554,568708,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,FALSE,193,NCBI.ID,NC_016854
RefSoil_555,588858,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_016856
RefSoil_556,909946,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_016857
RefSoil_557,718274,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_016860
RefSoil_558,990282,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_016863
RefSoil_559,1127134,Bacteria,Actinobacteria,Nocardia cyriacigeorgica GUH-2,FALSE,117,NCBI.ID,NC_016887
RefSoil_560,931626,Bacteria,Firmicutes,Acetobacterium woodii DSM 1030,FALSE,206,NCBI.ID,NC_016894
RefSoil_561,1112204,Bacteria,Actinobacteria,Gordonia polyisoprenivorans VH2,TRUE,117,NCBI.ID,NC_016906
RefSoil_562,1116391,Bacteria,Firmicutes,Paenibacillus mucilaginosus 3016,FALSE,206,NCBI.ID,NC_016935
RefSoil_563,1146883,Bacteria,Actinobacteria,Blastococcus saxobsidens DD2,FALSE,117,NCBI.ID,NC_016943
RefSoil_564,487521,Bacteria,Actinobacteria,Mycobacterium intracellulare ATCC 13950,FALSE,117,NCBI.ID,NC_016946
RefSoil_565,1138382,Bacteria,Actinobacteria,Mycobacterium intracellulare MOTT-02,FALSE,117,NCBI.ID,NC_016947
RefSoil_566,1138383,Bacteria,Actinobacteria,Mycobacterium intracellulare MOTT-64,FALSE,117,NCBI.ID,NC_016948
RefSoil_567,1144275,Bacteria,Deltaproteobacteria,Corallococcus coralloides DSM 2259,FALSE,39,NCBI.ID,NC_017030
RefSoil_568,1117942,Bacteria,Actinobacteria,Corynebacterium pseudotuberculosis P54B96,FALSE,117,NCBI.ID,NC_017031
RefSoil_569,1041930,Archaea,Euryarchaeota,Methanocella conradii HZ254,FALSE,25,NCBI.ID,NC_017034
RefSoil_570,1008297,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_017046
RefSoil_571,1151116,Bacteria,Gammaproteobacteria,Rahnella aquatilis HX2,TRUE,193,NCBI.ID,NC_017047
RefSoil_572,1150469,Bacteria,Alphaproteobacteria,Pararhodospirillum photometricum DSM 122,FALSE,124,NCBI.ID,NC_017059
RefSoil_573,1155777,Bacteria,Firmicutes,Bacillus methylotrophicus YAU B9601-Y2,FALSE,206,NCBI.ID,NC_017061
RefSoil_574,335659,Bacteria,Alphaproteobacteria,Bradyrhizobium sp. S23321,FALSE,124,NCBI.ID,NC_017082
RefSoil_575,512565,Bacteria,Actinobacteria,Actinoplanes missouriensis 431,FALSE,117,NCBI.ID,NC_017093
RefSoil_576,1162668,Bacteria,Nitrospirae,Leptospirillum ferrooxidans C2-3,FALSE,3,NCBI.ID,NC_017094
RefSoil_577,771875,Bacteria,Thermotogae,Fervidobacterium pennivorans DSM 9078,FALSE,3,NCBI.ID,NC_017095
RefSoil_578,634453,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-03,TRUE,124,NCBI.ID,NC_017100
RefSoil_579,634459,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-12,TRUE,124,NCBI.ID,NC_017108
RefSoil_580,634457,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-32,TRUE,124,NCBI.ID,NC_017111
RefSoil_581,634454,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-07,TRUE,124,NCBI.ID,NC_017121
RefSoil_582,634455,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-22,TRUE,124,NCBI.ID,NC_017125
RefSoil_583,634456,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-26,TRUE,124,NCBI.ID,NC_017146
RefSoil_584,634458,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-01-42C,TRUE,124,NCBI.ID,NC_017150
RefSoil_585,608538,Bacteria,Aquificae,Hydrogenobacter thermophilus TK-6,FALSE,3,NCBI.ID,NC_017161
RefSoil_586,1035377,Bacteria,Gammaproteobacteria,Yersinia pestis A1122,TRUE,193,NCBI.ID,NC_017168
RefSoil_587,999891,Bacteria,Firmicutes,Bacillus amyloliquefaciens TA208,FALSE,206,NCBI.ID,NC_017188
RefSoil_588,1001582,Bacteria,Firmicutes,Bacillus amyloliquefaciens LL3,TRUE,206,NCBI.ID,NC_017190
RefSoil_589,1034836,Bacteria,Firmicutes,Bacillus amyloliquefaciens XH7,FALSE,206,NCBI.ID,NC_017191
RefSoil_590,1052588,Bacteria,Firmicutes,Bacillus subtilis subsp. subtilis str. RO-NN-1,FALSE,206,NCBI.ID,NC_017195
RefSoil_591,645657,Bacteria,Firmicutes,Bacillus subtilis subsp. natto BEST195,TRUE,206,NCBI.ID,NC_017196
RefSoil_592,930170,Bacteria,Firmicutes,Bacillus thuringiensis serovar finitimu,TRUE,206,NCBI.ID,NC_017200
RefSoil_593,541229,Bacteria,Firmicutes,Bacillus thuringiensis serovar chinensis CT-43,TRUE,206,NCBI.ID,NC_017208
RefSoil_594,703352,Bacteria,Alphaproteobacteria,Brucella melitensis M5-90,FALSE,124,NCBI.ID,NC_017246
RefSoil_595,1037409,Bacteria,Alphaproteobacteria,Bradyrhizobium japonicum USDA 6,FALSE,124,NCBI.ID,NC_017249
RefSoil_596,930943,Archaea,Crenarchaeota,Sulfolobus islandicus HVE10/4,FALSE,9,NCBI.ID,NC_017275
RefSoil_597,930945,Archaea,Crenarchaeota,Sulfolobus islandicus REY15A,FALSE,9,NCBI.ID,NC_017276
RefSoil_598,863638,Bacteria,Firmicutes,Clostridium acetobutylicum EA 2018,TRUE,206,NCBI.ID,NC_017295
RefSoil_599,941968,Bacteria,Firmicutes,Clostridium botulinum H04402 065,FALSE,206,NCBI.ID,NC_017299
RefSoil_600,679896,Bacteria,Actinobacteria,Corynebacterium pseudotuberculosis 1002,FALSE,117,NCBI.ID,NC_017300
RefSoil_601,573059,Bacteria,Deltaproteobacteria,Desulfovibrio vulgaris RCH1,TRUE,39,NCBI.ID,NC_017310
RefSoil_602,945711,Bacteria,Actinobacteria,Corynebacterium ulcerans 809,FALSE,117,NCBI.ID,NC_017317
RefSoil_603,698936,Bacteria,Alphaproteobacteria,Sinorhizobium meliloti BL225C,TRUE,124,NCBI.ID,NC_017322
RefSoil_604,707241,Bacteria,Alphaproteobacteria,Sinorhizobium meliloti SM11,TRUE,124,NCBI.ID,NC_017325
RefSoil_605,759362,Bacteria,Alphaproteobacteria,Ketogulonicigenium vulgare WSH-001,TRUE,124,NCBI.ID,NC_017384
RefSoil_606,644651,Bacteria,Gammaproteobacteria,Erwinia pyrifoliae DSM 12163,TRUE,193,NCBI.ID,NC_017390
RefSoil_607,215689,Bacteria,Gammaproteobacteria,Erwinia sp. Ejp617,TRUE,193,NCBI.ID,NC_017445
RefSoil_608,676032,Bacteria,Gammaproteobacteria,Francisella cf. tularensis subsp. novicid,FALSE,193,NCBI.ID,NC_017449
RefSoil_609,984129,Bacteria,Gammaproteobacteria,Francisella cf. novicida Fx1,FALSE,193,NCBI.ID,NC_017450
RefSoil_610,663917,Bacteria,Deltaproteobacteria,Geobacter sulfurreducens KN400,FALSE,39,NCBI.ID,NC_017454
RefSoil_611,563174,Bacteria,Firmicutes,Listeria monocytogenes L99,FALSE,206,NCBI.ID,NC_017529
RefSoil_612,931281,Bacteria,Gammaproteobacteria,Pseudomonas putida BIRD-1,FALSE,193,NCBI.ID,NC_017530
RefSoil_613,932677,Bacteria,Gammaproteobacteria,Pantoea ananatis AJ13355,TRUE,193,NCBI.ID,NC_017531
RefSoil_614,996285,Bacteria,Gammaproteobacteria,Pseudomonas stutzeri DSM 4166,FALSE,193,NCBI.ID,NC_017532
RefSoil_615,1030009,Bacteria,Firmicutes,Listeria monocytogenes M7,FALSE,206,NCBI.ID,NC_017537
RefSoil_616,1052684,Bacteria,Firmicutes,Paenibacillus polymyxa M1,TRUE,206,NCBI.ID,NC_017542
RefSoil_617,393133,Bacteria,Firmicutes,Listeria monocytogenes 10403S,FALSE,206,NCBI.ID,NC_017544
RefSoil_618,393130,Bacteria,Firmicutes,Listeria monocytogenes J0161,FALSE,206,NCBI.ID,NC_017545
RefSoil_619,393126,Bacteria,Firmicutes,Listeria monocytogenes FSL R2-561,FALSE,206,NCBI.ID,NC_017546
RefSoil_620,393127,Bacteria,Firmicutes,Listeria monocytogenes Finland 1998,FALSE,206,NCBI.ID,NC_017547
RefSoil_621,941193,Bacteria,Gammaproteobacteria,Pseudomonas aeruginosa M18,FALSE,193,NCBI.ID,NC_017548
RefSoil_622,1089456,Bacteria,Gammaproteobacteria,Pseudomonas aeruginosa NCGM2.S1,FALSE,193,NCBI.ID,NC_017549
RefSoil_623,573825,Bacteria,Spirochaetes,Leptospira interrogans serovar Lai str. IPAV,FALSE,12,NCBI.ID,NC_017551
RefSoil_624,859655,Bacteria,Betaproteobacteria,Ralstonia solanacearum CMR15,TRUE,91,NCBI.ID,NC_017559
RefSoil_625,1031711,Bacteria,Betaproteobacteria,Ralstonia solanacearum Po82,TRUE,91,NCBI.ID,NC_017574
RefSoil_626,1033813,Bacteria,Gammaproteobacteria,Escherichia coli NA114,FALSE,193,NCBI.ID,NC_017644
RefSoil_627,885276,Bacteria,Gammaproteobacteria,Escherichia coli str. 'clone D i2',FALSE,193,NCBI.ID,NC_017651
RefSoil_628,566546,Bacteria,Gammaproteobacteria,Escherichia coli W,TRUE,193,NCBI.ID,NC_017664
RefSoil_629,866895,Bacteria,Firmicutes,Halobacillus halophilus DSM 2266,TRUE,206,NCBI.ID,NC_017668
RefSoil_630,1163399,Bacteria,Gammaproteobacteria,Stenotrophomonas maltophilia D457,FALSE,193,NCBI.ID,NC_017671
RefSoil_631,997761,Bacteria,Firmicutes,Paenibacillus mucilaginosus K02,FALSE,206,NCBI.ID,NC_017672
RefSoil_632,768494,Bacteria,Firmicutes,Bacillus anthracis str. H9401,TRUE,206,NCBI.ID,NC_017729
RefSoil_633,1127744,Bacteria,Firmicutes,Bacillus sp. JS,FALSE,206,NCBI.ID,NC_017743
RefSoil_634,1133850,Bacteria,Actinobacteria,Streptomyces hygroscopicus subsp. jinggangensi,TRUE,117,NCBI.ID,NC_017765
RefSoil_635,929556,Bacteria,Bacteroidetes,Solitalea canadensis DSM 3403,FALSE,19,NCBI.ID,NC_017770
RefSoil_636,745776,Bacteria,Deinococcus-Thermus,Deinococcus gobiensis I-0,TRUE,6,NCBI.ID,NC_017790
RefSoil_637,134676,Bacteria,Actinobacteria,Actinoplanes sp. SE50/110,FALSE,117,NCBI.ID,NC_017803
RefSoil_638,1166016,Bacteria,Gammaproteobacteria,Pectobacterium sp. SCC3193,FALSE,193,NCBI.ID,NC_017845
RefSoil_639,1037911,Bacteria,Gammaproteobacteria,Pseudomonas fluorescens A506,TRUE,193,NCBI.ID,NC_017911
RefSoil_640,1126211,Bacteria,Firmicutes,Bacillus amyloliquefaciens Y2,FALSE,206,NCBI.ID,NC_017912
RefSoil_641,416344,Bacteria,Betaproteobacteria,Burkholderia sp. KJ006,TRUE,91,NCBI.ID,NC_017920
RefSoil_642,477641,Bacteria,Actinobacteria,Modestobacter marinus,FALSE,117,NCBI.ID,NC_017955
RefSoil_643,1036672,Bacteria,Betaproteobacteria,Advenella kashmirensis WT001,TRUE,91,NCBI.ID,NC_017964
RefSoil_644,231023,Bacteria,Gammaproteobacteria,Pseudomonas putida ND6,TRUE,193,NCBI.ID,NC_017986
RefSoil_645,1185652,Bacteria,Alphaproteobacteria,Sinorhizobium fredii USDA 257,FALSE,124,NCBI.ID,NC_018000
RefSoil_646,760154,Bacteria,Epsilonproteobacteria,Sulfurospirillum barnesii SES-3,FALSE,9,NCBI.ID,NC_018002
RefSoil_647,926566,Bacteria,Acidobacteria,Terriglobus roseus DSM 18391,FALSE,7,NCBI.ID,NC_018014
RefSoil_648,756499,Bacteria,Firmicutes,Desulfitobacterium dehalogenans ATCC 51507,FALSE,206,NCBI.ID,NC_018017
RefSoil_649,710421,Bacteria,Actinobacteria,Mycobacterium chubuense NBB4,TRUE,117,NCBI.ID,NC_018027
RefSoil_650,1196835,Bacteria,Gammaproteobacteria,Pseudomonas stutzeri CCUG 29243,FALSE,193,NCBI.ID,NC_018028
RefSoil_651,1002809,Bacteria,Firmicutes,Solibacillus silvestris StLB046,TRUE,206,NCBI.ID,NC_018065
RefSoil_652,646529,Bacteria,Firmicutes,Desulfosporosinus acidiphilus SJ4,TRUE,206,NCBI.ID,NC_018068
RefSoil_653,1104326,Bacteria,Gammaproteobacteria,Enterobacter cloacae subsp. dissolvens SDM,FALSE,193,NCBI.ID,NC_018079
RefSoil_654,1093787,Bacteria,Gammaproteobacteria,Pseudomonas aeruginosa DK2,FALSE,193,NCBI.ID,NC_018080
RefSoil_655,91891,Bacteria,Gammaproteobacteria,Legionella pneumophila subsp. pneumophila,TRUE,193,NCBI.ID,NC_018139
RefSoil_656,91891,Bacteria,Gammaproteobacteria,Legionella pneumophila subsp. pneumophila,FALSE,193,NCBI.ID,NC_018140
RefSoil_657,83332,Bacteria,Actinobacteria,Mycobacterium tuberculosis H37Rv,FALSE,117,NCBI.ID,NC_018143
RefSoil_658,1198627,Bacteria,Actinobacteria,Mycobacterium abscessus subsp. bolletii str. G,FALSE,117,NCBI.ID,NC_018150
RefSoil_659,1123519,Bacteria,Gammaproteobacteria,Pseudomonas stutzeri DSM 10701,FALSE,193,NCBI.ID,NC_018177
RefSoil_660,713604,Bacteria,Actinobacteria,Amycolatopsis mediterranei S699,FALSE,117,NCBI.ID,NC_018266
RefSoil_661,246196,Bacteria,Actinobacteria,Mycobacterium smegmatis str. MC2 155,FALSE,117,NCBI.ID,NC_018289
RefSoil_662,187303,Bacteria,Alphaproteobacteria,Methylocystis sp. SC2,FALSE,124,NCBI.ID,NC_018485
RefSoil_663,1217984,Bacteria,Firmicutes,Bacillus cereus FRI-35,TRUE,206,NCBI.ID,NC_018491
RefSoil_664,1218175,Bacteria,Firmicutes,Bacillus thuringiensis HD-771,TRUE,206,NCBI.ID,NC_018500
RefSoil_665,1217737,Bacteria,Firmicutes,Bacillus thuringiensis HD-789,TRUE,206,NCBI.ID,NC_018508
RefSoil_666,1009846,Bacteria,Betaproteobacteria,Burkholderia cepacia GG4,FALSE,91,NCBI.ID,NC_018513
RefSoil_667,768704,Bacteria,Firmicutes,Desulfosporosinus meridiei DSM 13257,FALSE,206,NCBI.ID,NC_018515
RefSoil_668,1218933,Bacteria,Gammaproteobacteria,Pectobacterium carotovorum subsp. carotovoru,FALSE,193,NCBI.ID,NC_018525
RefSoil_669,1229785,Bacteria,Betaproteobacteria,Burkholderia pseudomallei BPC006,FALSE,91,NCBI.ID,NC_018527
RefSoil_670,337191,Bacteria,Actinobacteria,Gordonia sp. KTR9,TRUE,117,NCBI.ID,NC_018581
RefSoil_671,882095,Bacteria,Firmicutes,Listeria monocytogenes ATCC 19117,FALSE,206,NCBI.ID,NC_018584
RefSoil_672,879088,Bacteria,Firmicutes,Listeria monocytogenes SLCC2378,FALSE,206,NCBI.ID,NC_018585
RefSoil_673,879089,Bacteria,Firmicutes,Listeria monocytogenes SLCC2540,FALSE,206,NCBI.ID,NC_018586
RefSoil_674,932919,Bacteria,Firmicutes,Listeria monocytogenes SLCC2755,TRUE,206,NCBI.ID,NC_018587
RefSoil_675,932920,Bacteria,Firmicutes,Listeria monocytogenes SLCC2372,TRUE,206,NCBI.ID,NC_018588
RefSoil_676,882020,Bacteria,Firmicutes,Listeria monocytogenes SLCC2479,FALSE,206,NCBI.ID,NC_018589
RefSoil_677,863767,Bacteria,Firmicutes,Listeria monocytogenes serotype 7 str,TRUE,206,NCBI.ID,NC_018591
RefSoil_678,879090,Bacteria,Firmicutes,Listeria monocytogenes SLCC7179,FALSE,206,NCBI.ID,NC_018593
RefSoil_679,1228997,Bacteria,Bacteroidetes,Riemerella anatipestifer RA-CH-1,FALSE,19,NCBI.ID,NC_018609
RefSoil_680,1218358,Bacteria,Chlamydiae,Chlamydia psittaci WC,TRUE,3,NCBI.ID,NC_018624
RefSoil_681,882094,Bacteria,Firmicutes,Listeria monocytogenes L312,FALSE,206,NCBI.ID,NC_018642
RefSoil_682,1048260,Bacteria,Nitrospirae,Leptospirillum ferriphilum ML-04,FALSE,3,NCBI.ID,NC_018649
RefSoil_683,1128398,Bacteria,Firmicutes,[Clostridium] acidurici 9a,TRUE,206,NCBI.ID,NC_018664
RefSoil_685,1133849,Bacteria,Actinobacteria,Nocardia brasiliensis ATCC 700358,FALSE,117,NCBI.ID,NC_018681
RefSoil_686,1195464,Bacteria,Firmicutes,Bacillus thuringiensis MC28,TRUE,206,NCBI.ID,NC_018693
RefSoil_684,1229205,Bacteria,Betaproteobacteria,Burkholderia phenoliruptrix BR3459a,TRUE,91,NCBI.ID,NC_018695
RefSoil_687,1230587,Bacteria,Alphaproteobacteria,Sinorhizobium meliloti Rm41,TRUE,124,NCBI.ID,NC_018700
RefSoil_688,698758,Bacteria,Firmicutes,Amphibacillus xylanus NBRC 15112,FALSE,206,NCBI.ID,NC_018704
RefSoil_689,358220,Bacteria,Betaproteobacteria,Acidovorax sp. KKS102,FALSE,91,NCBI.ID,NC_018708
RefSoil_690,1201032,Bacteria,Epsilonproteobacteria,Campylobacter jejuni subsp. jejuni PT14,FALSE,9,NCBI.ID,NC_018709
RefSoil_691,953739,Bacteria,Actinobacteria,Streptomyces venezuelae ATCC 10712,FALSE,117,NCBI.ID,NC_018750
RefSoil_692,1147129,Bacteria,Firmicutes,Dehalobacter sp. DCA,FALSE,206,NCBI.ID,NC_018866
RefSoil_693,1131462,Bacteria,Firmicutes,Dehalobacter sp. CF,FALSE,206,NCBI.ID,NC_018867
RefSoil_694,1094980,Archaea,Euryarchaeota,Methanolobus psychrophilus R15,FALSE,25,NCBI.ID,NC_018876
RefSoil_695,527021,Bacteria,Firmicutes,Bacillus thuringiensis Bt407,TRUE,206,NCBI.ID,NC_018877
RefSoil_696,568707,Bacteria,Betaproteobacteria,Bordetella bronchiseptica 253,FALSE,91,NCBI.ID,NC_019382
RefSoil_697,1069642,Bacteria,Deltaproteobacteria,Bdellovibrio bacteriovorus str. Tiberius,FALSE,39,NCBI.ID,NC_019567
RefSoil_698,1207075,Bacteria,Gammaproteobacteria,Pseudomonas sp. UW4,FALSE,193,NCBI.ID,NC_019670
RefSoil_699,1179773,Bacteria,Actinobacteria,Saccharothrix espanaensis DSM 44229,FALSE,117,NCBI.ID,NC_019673
RefSoil_700,317936,Bacteria,Cyanobacteria,Nostoc sp. PCC 7107,FALSE,27,NCBI.ID,NC_019676
RefSoil_701,373994,Bacteria,Cyanobacteria,Rivularia sp. PCC 7116,TRUE,27,NCBI.ID,NC_019678
RefSoil_702,195253,Bacteria,Cyanobacteria,Synechococcus sp. PCC 6312,TRUE,27,NCBI.ID,NC_019680
RefSoil_703,111781,Bacteria,Cyanobacteria,Leptolyngbya sp. PCC 7376,FALSE,27,NCBI.ID,NC_019683
RefSoil_704,118163,Bacteria,Cyanobacteria,Pleurocapsa sp. PCC 7327,FALSE,27,NCBI.ID,NC_019689
RefSoil_705,56110,Bacteria,Cyanobacteria,Oscillatoria acuminata PCC 6304,TRUE,27,NCBI.ID,NC_019693
RefSoil_706,251229,Bacteria,Cyanobacteria,Chroococcidiopsis thermalis PCC 7203,TRUE,27,NCBI.ID,NC_019695
RefSoil_707,82654,Bacteria,Cyanobacteria,Pseudanabaena sp. PCC 7367,TRUE,27,NCBI.ID,NC_019701
RefSoil_708,1173263,Bacteria,Cyanobacteria,Synechococcus sp. PCC 7502,TRUE,27,NCBI.ID,NC_019702
RefSoil_709,1173025,Bacteria,Cyanobacteria,Geitlerinema sp. PCC 7407,FALSE,27,NCBI.ID,NC_019703
RefSoil_710,179408,Bacteria,Cyanobacteria,Oscillatoria nigro-viridis PCC 7112,TRUE,27,NCBI.ID,NC_019729
RefSoil_711,1173027,Bacteria,Cyanobacteria,Microcoleus sp. PCC 7113,TRUE,27,NCBI.ID,NC_019738
RefSoil_712,1173026,Bacteria,Cyanobacteria,Gloeocapsa sp. PCC 7428,TRUE,27,NCBI.ID,NC_019745
RefSoil_713,111780,Bacteria,Cyanobacteria,Stanieria cyanosphaera PCC 7437,TRUE,27,NCBI.ID,NC_019748
RefSoil_714,56107,Bacteria,Cyanobacteria,Cylindrospermum stagnale PCC 7417,TRUE,27,NCBI.ID,NC_019757
RefSoil_715,755178,Bacteria,Cyanobacteria,Cyanobacterium aponinum PCC 10605,TRUE,27,NCBI.ID,NC_019776
RefSoil_716,13035,Bacteria,Cyanobacteria,Dactylococcopsis salina PCC 8305,FALSE,27,NCBI.ID,NC_019780
RefSoil_717,937777,Bacteria,Deinococcus-Thermus,Deinococcus peraridilitoris DSM 19664,TRUE,6,NCBI.ID,NC_019793
RefSoil_718,1225788,Bacteria,Firmicutes,Bacillus methylotrophicus AS43.3,FALSE,206,NCBI.ID,NC_019842
RefSoil_719,1235461,Bacteria,Alphaproteobacteria,Sinorhizobium meliloti GR4,TRUE,124,NCBI.ID,NC_019845
RefSoil_720,886293,Bacteria,Planctomycetes,Singulisphaera acidiphila DSM 18658,TRUE,1,NCBI.ID,NC_019892
RefSoil_721,717605,Bacteria,Firmicutes,Thermobacillus composti KWC4,TRUE,206,NCBI.ID,NC_019897
